page	url	screenshot
homepage	https://www.offkilter.tv/	/Users/mbp-apple-m1/autogpt-dev/docs/assets/platform-polish-sprint/art-direction/desktop-captures/homepage-desktop.png
arcana	https://www.offkilter.tv/video-category/arcana/	/Users/mbp-apple-m1/autogpt-dev/docs/assets/platform-polish-sprint/art-direction/desktop-captures/arcana-desktop.png
creator-fft313	https://www.offkilter.tv/channel/channel-id/@FOOD_FOR_THOUGHT_313/	/Users/mbp-apple-m1/autogpt-dev/docs/assets/platform-polish-sprint/art-direction/desktop-captures/creator-fft313-desktop.png
